LPS|GNFR|E-PRTR/PRTR Facility ID|Height class|Longitude (deg)|Latitude (deg)|NOx (as NO2) (kt)|NMVOC (kt)|SOx (as SO2) (kt)|NH3 (kt)|PM2.5 (kt)|PM10 (kt)|CO (kt)|Pb (t)|Cd (t)|Hg (t)|PCDD/ PCDF (dioxins/ furans)(g I-Teq)|PAHs (t)|HCB (kg)|PCBs (kg)
Nordenhamer Zinkhütte GmbH|B_Industry|03-09-09261144770|2|8,50231376530734|53,5072808026484||||||||||||||
Nordland Papier GmbH Papierfabrik|B_Industry|03-04-04247180070|2|7,3623602809326|52,9777487226594|0,115|||||||||||||
Nordzucker AG Werk Nordstemmen|B_Industry|03-07-07244473830|1|9,79506332154025|52,1709049159078||||||||||||||
Nordzucker AG Werk Uelzen|B_Industry|03-08-08271405180|1|10,5595538731268|52,9783673737054|0,217||0,516|||||||||||
Nordzucker AG, Werk Klein Wanzleben|B_Industry|15397|1|11,3851889409363|52,0742401640894||||||||||||||
Norzinco GmbH Harzer Zinkoxide|B_Industry|03-01-01227355050|1|10,4953637465032|51,9075922558478||||||||||||||
Nottmeier Agrar GmbH|K_AgriLivestock|12-20730200000|1|13,9222500235311|53,0765678051178||||0,0131||||||||||
Nynas GmbH & Co. KG Raffinerie Harburg|B_Industry|06-02-B2A100H003|4|9,97024203411488|53,4865900821362||||||||||||||
Närmann, Winfried|K_AgriLivestock|06-05-558-0160645|1|7,56544434208499|51,8081711332039||||0,0157||||||||||
O-I GLASSPACK GmbH & Co. KG Werk Rinteln|B_Industry|03-07-07236189580|2|9,06518216738345|52,1982183792564|0,175|||||||||||||
O-I Germany GmbH & Co. KG Glashütte Holzminden|B_Industry|03-07-07236911950|2|9,44377393774047|51,808612308684|0,163|||||||||||||
O-I Germany GmbH & Co. KG Werk Bernsdorf|B_Industry|14-70-46874280000|2|14,0672171484776|51,3695908404325|0,197||0,216|||||||||||
